# t  Norma  <x>  <p>  <H>  DeltaX*DeltaP
0.000000000000000 1.000000000000000 0.500000000000000 0.000000000000000 299.996883256768115 1.499984416202893
0.000100000000000 1.000000000000000 0.499999999999999 0.000000000000008 299.996883256766068 1.499984416203218
0.000200000000000 0.999999999999998 0.500000000000000 0.000000000000014 299.996883256766864 1.499984416203943
0.000300000000000 0.999999999999999 0.500000000000000 0.000000000000020 299.996883256766182 1.499984416205248
0.000400000000000 1.000000000000000 0.500000000000000 0.000000000000027 299.996883256766978 1.499984416207017
0.000500000000000 1.000000000000000 0.500000000000000 0.000000000000033 299.996883256766637 1.499984416209246
0.000600000000000 1.000000000000000 0.500000000000000 0.000000000000041 299.996883256766978 1.499984416211962
0.000700000000000 1.000000000000000 0.500000000000000 0.000000000000047 299.996883256767035 1.499984416215073
0.000800000000000 1.000000000000001 0.500000000000000 0.000000000000052 299.996883256766978 1.499984416218575
0.000900000000000 1.000000000000000 0.500000000000000 0.000000000000059 299.996883256767774 1.499984416222405
0.001000000000000 1.000000000000001 0.500000000000000 0.000000000000065 299.996883256767319 1.499984416226524
0.001100000000000 1.000000000000001 0.500000000000001 0.000000000000069 299.996883256766978 1.499984416230865
0.001200000000000 1.000000000000001 0.500000000000000 0.000000000000074 299.996883256767433 1.499984416235508
0.001300000000000 1.000000000000001 0.500000000000001 0.000000000000080 299.996883256767603 1.499984416240165
0.001400000000000 1.000000000000000 0.500000000000001 0.000000000000087 299.996883256766864 1.499984416244896
0.001500000000000 1.000000000000001 0.500000000000001 0.000000000000093 299.996883256767319 1.499984416249710
0.001600000000000 1.000000000000002 0.500000000000001 0.000000000000099 299.996883256767205 1.499984416254417
0.001700000000000 1.000000000000001 0.500000000000001 0.000000000000105 299.996883256767546 1.499984416258997
0.001800000000000 1.000000000000002 0.500000000000001 0.000000000000110 299.996883256767660 1.499984416263457
0.001900000000000 1.000000000000003 0.500000000000001 0.000000000000118 299.996883256767433 1.499984416267616
0.002000000000000 1.000000000000002 0.500000000000002 0.000000000000123 299.996883256767546 1.499984416271422
0.002100000000000 1.000000000000002 0.500000000000001 0.000000000000131 299.996883256768342 1.499984416274871
0.002200000000000 1.000000000000002 0.500000000000001 0.000000000000136 299.996883256767660 1.499984416277899
0.002300000000000 1.000000000000004 0.500000000000001 0.000000000000143 299.996883256767887 1.499984416280280
0.002400000000000 1.000000000000002 0.500000000000002 0.000000000000148 299.996883256767433 1.499984416282130
0.002500000000000 1.000000000000003 0.500000000000002 0.000000000000155 299.996883256767546 1.499984416283343
0.002600000000000 1.000000000000002 0.500000000000002 0.000000000000160 299.996883256767774 1.499984416283798
0.002700000000000 1.000000000000002 0.500000000000002 0.000000000000166 299.996883256768115 1.499984416283472
0.002800000000000 1.000000000000004 0.500000000000001 0.000000000000174 299.996883256768683 1.499984416282388
0.002900000000000 1.000000000000003 0.500000000000002 0.000000000000177 299.996883256767774 1.499984416280361
0.003000000000000 1.000000000000003 0.500000000000002 0.000000000000182 299.996883256768399 1.499984416277446
0.003100000000000 1.000000000000003 0.500000000000003 0.000000000000188 299.996883256768342 1.499984416273515
0.003200000000000 1.000000000000004 0.500000000000003 0.000000000000192 299.996883256768172 1.499984416268604
0.003300000000000 1.000000000000004 0.500000000000003 0.000000000000197 299.996883256768569 1.499984416262721
0.003400000000000 1.000000000000004 0.500000000000003 0.000000000000203 299.996883256767774 1.499984416255785
0.003500000000000 1.000000000000004 0.500000000000003 0.000000000000209 299.996883256768456 1.499984416247769
